,,Note: New models will be applied in as current stock is depleted,,,Q2 2026,,,,,Q3 2026,,,,,Q4 2026,,,,,,,,,,
,,,,,Capital,,SGC,,Q2,Capital,,SGC,,Q3,Capital,,SGC,,Q4,,,,,,
Role,Type,Current model,New model,Spec of current model,FTE,BPO,FTE 2,BPO 2,Total,FTE 3,BPO 3,FTE 4,BPO 4,Total 2,FTE 5,BPO 5,FTE 6,BPO 6,Total 3,,,,,,
Producer,Desktop,Dell Precision T3680,Dell Pro Max Tower T2 (Low),,,,,,0,,,,,0,,,,,0,,,,,,
Product AOV/FF,Desktop,Dell OptiPlex 70xx (High),Dell Pro Slim,,,,,,0,,,,,0,,,,,0,,,,,,
Product FC/DF/New Games,Desktop,Dell Precision T3680,Dell Pro Max Tower T2 (Low),,,,1,,1,,,,,0,,,,,0,,,,,,
Marketing AOV/FF ,Desktop,Dell OptiPlex 70xx (High),Dell Pro Slim,,2,,,,2,,,,,0,,,,,0,,,,,,
Marketing AOV/FF ,Laptop,Dell Latitude 34xx (16GB),Dell Pro Slim,,,,,,0,,,,,0,,,,,0,,,,,,
Marketing FC/DF/New Games,Desktop,Dell Precision T36xx (Low),Dell Pro Max Tower T2 (Low),,1,,1,,1,,,,,0,,,,,0,,,,,,
Marketing ODP,Desktop,Dell OptiPlex 70xx (Low B),Dell Pro Slim,,2,,,,2,,,,,0,,,,,0,,,,,,
Marketing ODP (work with data analysis),Laptop,Dell Latitude 54xx (16GB),Dell Pro Slim,,,,,,0,,,,,0,,,,,0,,,,,,
Esports AOV/FF,Desktop,Dell OptiPlex 70xx (High),Dell Pro Slim,,2,,,,2,,,,,0,,,,,0,,,,,,
Esports AOV/FF,Laptop,Dell Latitude 34xx (16GB),Dell Pro Slim,,,,,,0,,,,,0,,,,,0,,,,,,
Esports FC/DF,Desktop,Dell Precision T36xx (Low),Dell Pro Max Tower T2 (Low),,,,1,,1,,,,,0,,,,,0,,,,,,
BA/Platform ODP,Desktop,Dell OptiPlex 70xx (High) (Upgrade 32GB RAM),Dell Pro Slim (High),,,2,,,2,,,,,0,,,,,0,,,,,,
Creative (Graphic Design),Desktop,Dell Precision T3680,Dell Pro Max Tower T2 (Low),,,,,,0,,,,,0,,,,,0,,,,,,
Creative (Video Editor),Desktop,Dell Pro Max Tower T2 (High),Dell Pro Max Tower T2 (High),,,,,,0,,,,,0,,,,,0,,,,,,
Strategy & Operations,Desktop,Dell Precision T36xx (Low),Dell Pro 14 Core 5,,,,,,0,,,,,0,,,,,0,,,,,,
Strategy & Operations,Laptop,Dell Latitude 54xx (16GB),Dell Pro 14 Core 5,,1,,1,,2,,,,,0,,,,,0,,,,,,
Game Dev (Regional Craftland),Desktop,Dell Precision T3680,Dell Pro Max Tower T2 (Low),,,,1,,1,,,,,0,,,,,0,,,,,,
Game Design (Regional Craftland),Desktop,Dell Precision T3680,Dell Pro Max Tower T2 (Low),,,,1,,1,,,,,0,,,,,0,,,,,,
Game Art (Regional Craftland),Desktop,Dell Pro Max Tower T2 (High),Dell Pro Max Tower T2 (High),,,,,1,1,,,,,0,,,,,0,,,,,,
Game Dev (In-house Game Dev),Desktop,Dell Precision T3680,Dell Pro Max Tower T2 (Low),,,,,2,2,,,,,0,,,,,0,,,,,,
Game Design (In-house Game Dev),Desktop,Dell Precision T3680,Dell Pro Max Tower T2 (Low),,,,1,,1,,,,,0,,,,,0,,,,,,
Game Art (In-house Game Dev),Desktop,Dell Pro Max Tower T2 (High),Dell Pro Max Tower T2 (High),,,,,3,3,,,,,0,,,,,0,,,,,,
Game Art (In-house Game Dev),Laptop,"14"" MacBook Pro M4 Pro (24G/512GB)","14"" MacBook Pro M4 (24G/512GB)",,,,1,,1,,,,,0,,,,,0,,,,,,
Developer,Laptop,Macbook Pro M1,"13"" MacBook Air M4 (16G/512GB)",,,,,,0,,,,,0,,,,,0,,,,,,
Developer (intern),Laptop,Macbook Pro M1,"13"" MacBook Air M4 (16G/512GB)",,,,,,0,,,,,0,,,,,0,,,,,,
Admin,Desktop,Dell OptiPlex 70xx (Low B),Dell Pro Slim,,,,,,0,,,,,0,,,,,0,,,,,,
Procurement,Laptop,Dell Latitude 34xx (16GB),Dell Pro 14 Core 5,,,,,,0,,,,,0,,,,,0,,,,,,
People Team / HR,Desktop,Dell OptiPlex 70xx (High),Dell Pro 14 Core 5,,,,,,0,,,,,0,,,,,0,,,,,,
People Team / HR,Laptop,Dell Latitude 34xx (16GB),Dell Pro 14 Core 5,,,1,,,1,,,,,0,,,,,0,,,,,,
HR (work with data analysis),Laptop,Dell Latitude 54xx (16GB),Dell Pro 14 Ultra 7,,,,,,0,,,,,0,,,,,0,,,,,,
Legal,Laptop,Dell Latitude 34xx (16GB),Dell Pro 14 Core 5,,,,,,0,,,,,0,,,,,0,,,,,,
Legal (work with data analysis),Laptop,Dell Latitude 54xx (16GB),Dell Pro 14 Ultra 7,,,,,,0,,,,,0,,,,,0,,,,,,
Finance,Desktop,Dell OptiPlex 70xx (High),Dell Pro Slim,,,,,,0,,,,,0,,,,,0,,,,,,
Finance,Laptop,Dell Latitude 54xx (16GB),Dell Pro 14 Ultra 7,,,,,,0,,,,,0,,,,,0,,,,,,
IT Corporate,Laptop,Macbook Pro M1,"13"" MacBook Air M4 (16G/512GB)",,,,,,0,,,,,0,,,,,0,,,,,,
Infrastructure,Laptop,Macbook Pro M1,"13"" MacBook Air M4 (16G/512GB)",,,,,,0,,,,,0,,,,,0,,,,,,
Other Operations,Desktop,Dell OptiPlex 70xx (Low B),Dell Pro Slim,,,,,,0,,,,,0,,,,,0,,,,,,
Additional laptop,Laptop,Dell Latitude 34xx (16GB),Dell Pro 14 Core 5,,,,,,0,,,,,0,,,,,0,,,,,,
Additional laptop,Laptop,Dell Latitude 54xx (16GB),Dell Pro 14 Ultra 7,,,,,,0,,,,,0,,,,,0,,,,,,
Upgrade for Backfill,,,,,,,,,0,,,,,0,,,,,0,,,,,,
Upgrade for Backfill,,,,,,,,,0,,,,,0,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dear c,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
